// Command line: MsdnHelper.exe /a 
// Project page: https://github.com/yallie/MsdnHelper
System._AppDomain,st0e50f8
System.AccessViolationException,45bkekh3
System.Action,bb534741
System.Action`1,018hxwa8
System.Action`2,bb549311
System.Action`3,bb549392
System.Action`4,bb548654
System.Action`5,dd289012
System.Action`6,dd269635
System.Action`7,dd268304
System.Action`8,dd235351
System.Action`9,dd386922
System.Action`10,dd387291
System.Action`11,dd402870
System.Action`12,dd402748
System.Action`13,dd402871
System.Action`14,dd402866
System.Action`15,dd402873
System.Action`16,dd402872
System.ActivationContext,4t03h61s
System.ActivationContext.ContextForm,t86xx13f
System.Activator,b4wc81dc
System.AggregateException,dd386929
System.AppDomain,w124b5fa
System.AppDomainInitializer,d1kyww0y
System.AppDomainManager,6x4cfzwc
System.AppDomainManagerInitializationOptions,ms130797
System.AppDomainSetup,9hc77a1s
System.AppDomainUnloadedException,a2z5dt6w
System.ApplicationException,ww58ded5
System.ApplicationId,70wh3x02
System.ApplicationIdentity,4z19s0xf
System.ArgIterator,9x90xzbw
System.ArgumentException,3w1b3114
System.ArgumentNullException,27426hcy
System.ArgumentOutOfRangeException,8xt94y6e
System.ArithmeticException,sxfw54a9
System.Array,czz5hkty
System.ArraySegment`1,1hsbd92d
System.ArrayTypeMismatchException,1y8yfdw4
System.AssemblyLoadEventArgs,4dt0d4y8
System.AssemblyLoadEventHandler,8kwt3t90
System.AsyncCallback,ckbe7yh5
System.Attribute,e8kc3626
System.AttributeTargets,fa1240fs
System.AttributeUsageAttribute,4kc2f9bs
System.BadImageFormatException,92hkyaf2
System.Base64FormattingOptions,kc05kbs4
System.BitConverter,3kftcaf9
System.Boolean,a28wyd50
System.Buffer,teyhh36d
System.Byte,yyb1w04y
System.CannotUnloadAppDomainException,fcawec7x
System.Char,k493b04s
System.CharEnumerator,dx1ztye4
System.CLSCompliantAttribute,ck7ah248
System.Comparison`1,tfakywbh
System.Console,43zwz7ys
System.ConsoleCancelEventArgs,49ht461a
System.ConsoleCancelEventHandler,z2z848h9
System.ConsoleColor,s66hf68a
System.ConsoleKey,126yd2dy
System.ConsoleKeyInfo,93y9ast5
System.ConsoleModifiers,wk5a2yt3
System.ConsoleSpecialKey,9ke393ae
System.ContextBoundObject,8b6cs2xk
System.ContextMarshalException,w2k9ef5s
System.ContextStaticAttribute,1cy56kcd
System.Convert,dsfy6sz9
System.Converter`2,kt456a2y
System.CrossAppDomainDelegate,4895572y
System.DataMisalignedException,2bze5a2x
System.DateTime,03ybds8y
