// Command line: MsdnHelper.exe
// Project page: https://github.com/yallie/MsdnHelper
System.Action`1,018hxwa8
System.Action`2,bb549311
System.Action`3,bb549392
System.Action`4,bb548654
System.Action`5,dd289012
System.Action`6,dd269635
System.Action`7,dd268304
System.Action`8,dd235351
System.Action`9,dd386922
System.Action`10,dd387291
System.Action`11,dd402870
System.Action`12,dd402748
System.Action`13,dd402871
System.Action`14,dd402866
System.Action`15,dd402873
System.Action`16,dd402872
System.ArraySegment`1,1hsbd92d
System.Comparison`1,tfakywbh
System.Converter`2,kt456a2y
System.DateTimeKind,shx7s921
System.EventHandler`1,db0etb8x
System.Func`1,bb534960
System.Func`2,bb549151
System.Func`3,bb534647
System.Func`4,bb549430
System.Func`5,bb534303
System.Func`6,dd268303
System.Func`7,dd269654
System.Func`8,dd289456
System.Func`9,dd267613
System.Func`10,dd386894
System.Func`11,dd383294
System.Func`12,dd402864
System.Func`13,dd402863
System.Func`14,dd402867
System.Func`15,dd402861
System.Func`16,dd402868
System.Func`17,dd402862
System.GCCollectionMode,bb495757
System.IComparable`1,4d7sx9hd
System.IEquatable`1,ms131187
System.IObservable`1,dd990377
System.IObserver`1,dd783449
System.IProgress`1,hh138298
System.Lazy`1,dd642331
System.Lazy`2,dd986615
System.Nullable`1,b3h38hb0
System.PlatformID,3a8hyw88
System.Predicate`1,bfcke1bz
System.Progress`1,hh193692
System.Tuple`1,dd386941
System.Tuple`2,dd268536
System.Tuple`3,dd387150
System.Tuple`4,dd414846
System.Tuple`5,dd414892
System.Tuple`6,dd386877
System.Tuple`7,dd387185
System.Tuple`8,dd383325
System.UriComponents,7767559y
System.UriPartial,x82988a2
System.WeakReference`1,gg712738
System.Activities.Activity`1,dd466009
System.Activities.ActivityAction`1,dd485397
System.Activities.ActivityAction`2,dd454579
System.Activities.ActivityAction`3,dd454494
System.Activities.ActivityAction`4,dd454513
System.Activities.ActivityAction`5,dd780128
System.Activities.ActivityAction`6,dd987845
System.Activities.ActivityAction`7,dd781623
System.Activities.ActivityAction`8,dd779591
System.Activities.ActivityAction`9,dd987105
System.Activities.ActivityAction`10,dd988391
System.Activities.ActivityAction`11,dd987097
System.Activities.ActivityAction`12,dd780357
System.Activities.ActivityAction`13,dd986404
System.Activities.ActivityAction`14,dd782087
System.Activities.ActivityAction`15,dd988237
System.Activities.ActivityAction`16,dd986869
System.Activities.ActivityBuilder`1,ee149744
System.Activities.ActivityFunc`1,dd486077
System.Activities.ActivityFunc`2,dd466069
System.Activities.ActivityFunc`3,dd486270
System.Activities.ActivityFunc`4,dd466035
System.Activities.ActivityFunc`5,dd465641
System.Activities.ActivityFunc`6,dd986968
System.Activities.ActivityFunc`7,dd986437
System.Activities.ActivityFunc`8,dd988295
System.Activities.ActivityFunc`9,dd987886
System.Activities.ActivityFunc`10,dd988941
System.Activities.ActivityFunc`11,dd986390
System.Activities.ActivityFunc`12,dd987244
System.Activities.ActivityFunc`13,dd987456
System.Activities.ActivityFunc`14,dd987990
System.Activities.ActivityFunc`15,dd987211
System.Activities.ActivityFunc`16,dd779953
System.Activities.ActivityFunc`17,dd986938
System.Activities.AsyncCodeActivity`1,dd780675
System.Activities.CodeActivity`1,dd465967
System.Activities.CompletionCallback`1,dd484889
System.Activities.DelegateInArgument`1,dd987988
System.Activities.DelegateOutArgument`1,dd988191
System.Activities.DynamicActivity`1,dd465645
System.Activities.InArgument`1,dd465965
System.Activities.InOutArgument`1,dd502004
System.Activities.Location`1,dd486266
System.Activities.NativeActivity`1,dd454626
System.Activities.OutArgument`1,dd485644
System.Activities.Variable`1,dd485861
System.Activities.Core.Presentation.Factories.ForEachWithBodyFactory`1,ee403155
System.Activities.Core.Presentation.Factories.ParallelForEachWithBodyFactory`1,ee403152
System.Activities.Expressions.Add`3,dd330672
System.Activities.Expressions.And`3,dd330398
System.Activities.Expressions.ArgumentReference`1,dd782002
System.Activities.Expressions.ArgumentValue`1,dd986946
System.Activities.Expressions.ArrayItemReference`1,dd484725
System.Activities.Expressions.ArrayItemValue`1,dd484683
System.Activities.Expressions.As`2,dd330701
System.Activities.Expressions.Cast`2,dd330684
System.Activities.Expressions.DelegateArgumentReference`1,dd780819
System.Activities.Expressions.DelegateArgumentValue`1,dd987730
System.Activities.Expressions.Divide`3,dd484641
System.Activities.Expressions.EnvironmentLocationReference`1,hh192036
System.Activities.Expressions.EnvironmentLocationValue`1,hh157256
System.Activities.Expressions.Equal`3,dd484733
System.Activities.Expressions.FieldReference`2,dd484744
System.Activities.Expressions.FieldValue`2,dd484635
System.Activities.Expressions.GreaterThan`3,dd330663
System.Activities.Expressions.GreaterThanOrEqual`3,dd484702
System.Activities.Expressions.IndexerReference`2,dd780243
System.Activities.Expressions.InvokeFunc`1,dd986974
System.Activities.Expressions.InvokeFunc`2,dd780393
System.Activities.Expressions.InvokeFunc`3,dd781648
System.Activities.Expressions.InvokeFunc`4,dd988317
System.Activities.Expressions.InvokeFunc`5,dd779543
System.Activities.Expressions.InvokeFunc`6,dd782017
System.Activities.Expressions.InvokeFunc`7,dd988151
System.Activities.Expressions.InvokeFunc`8,dd987488
System.Activities.Expressions.InvokeFunc`9,dd780257
System.Activities.Expressions.InvokeFunc`10,dd779974
System.Activities.Expressions.InvokeFunc`11,dd781838
System.Activities.Expressions.InvokeFunc`12,dd988400
System.Activities.Expressions.InvokeFunc`13,dd986941
System.Activities.Expressions.InvokeFunc`14,dd780114
System.Activities.Expressions.InvokeFunc`15,dd780817
System.Activities.Expressions.InvokeFunc`16,dd781810
System.Activities.Expressions.InvokeFunc`17,dd987723
System.Activities.Expressions.InvokeMethod`1,dd986354
System.Activities.Expressions.LambdaReference`1,dd986756
System.Activities.Expressions.LambdaValue`1,dd987687
System.Activities.Expressions.LessThan`3,dd330687
System.Activities.Expressions.LessThanOrEqual`3,dd501543
System.Activities.Expressions.Literal`1,dd779539
System.Activities.Expressions.MultidimensionalArrayItemReference`1,dd988323
System.Activities.Expressions.Multiply`3,dd501558
System.Activities.Expressions.New`1,dd330397
System.Activities.Expressions.NewArray`1,dd484668
System.Activities.Expressions.Not`2,dd484720
System.Activities.Expressions.NotEqual`3,dd484659
System.Activities.Expressions.Or`3,dd484741
System.Activities.Expressions.PropertyReference`2,dd330679
System.Activities.Expressions.PropertyValue`2,dd484658
System.Activities.Expressions.Subtract`3,dd330660
System.Activities.Expressions.ValueTypeFieldReference`2,dd779779
System.Activities.Expressions.ValueTypeIndexerReference`2,dd988198
System.Activities.Expressions.ValueTypePropertyReference`2,dd987370
System.Activities.Expressions.VariableReference`1,dd988245
System.Activities.Expressions.VariableValue`1,dd779791
System.Activities.Presentation.IActivityTemplateFactory`1,hh136138
System.Activities.Presentation.PublishServiceCallback`1,ee408402
System.Activities.Presentation.SubscribeContextCallback`1,ee408228
System.Activities.Presentation.SubscribeServiceCallback`1,ee425837
System.Activities.Presentation.Model.AttachedProperty`1,ee473952
System.Activities.Presentation.Model.AttachedPropertyInfo`1,ee473841
System.Activities.Presentation.Model.ModelMemberCollection`2,ee403646
System.Activities.Presentation.Toolbox.ActivityTemplateFactory`1,hh135852
System.Activities.Statements.AddToCollection`1,dd648043
System.Activities.Statements.Assign`1,dd647739
System.Activities.Statements.Catch`1,dd647711
System.Activities.Statements.ClearCollection`1,dd647811
System.Activities.Statements.ExistsInCollection`1,dd647747
System.Activities.Statements.FlowSwitch`1,ee390735
System.Activities.Statements.ForEach`1,dd647676
System.Activities.Statements.HandleScope`1,dd647899
System.Activities.Statements.InvokeAction`1,dd988216
System.Activities.Statements.InvokeAction`2,dd986592
System.Activities.Statements.InvokeAction`3,dd988550
System.Activities.Statements.InvokeAction`4,dd780403
System.Activities.Statements.InvokeAction`5,dd779800
System.Activities.Statements.InvokeAction`6,dd781122
System.Activities.Statements.InvokeAction`7,dd987604
System.Activities.Statements.InvokeAction`8,dd987356
System.Activities.Statements.InvokeAction`9,dd779981
System.Activities.Statements.InvokeAction`10,dd782016
System.Activities.Statements.InvokeAction`11,dd988375
System.Activities.Statements.InvokeAction`12,dd987109
System.Activities.Statements.InvokeAction`13,dd988416
System.Activities.Statements.InvokeAction`14,dd779588
System.Activities.Statements.InvokeAction`15,dd987989
System.Activities.Statements.InvokeAction`16,dd781627
System.Activities.Statements.ParallelForEach`1,dd647810
System.Activities.Statements.RemoveFromCollection`1,dd647801
System.Activities.Statements.Switch`1,dd647669
System.Activities.Validation.Constraint`1,dd485118
System.Activities.XamlIntegration.PropertyReferenceExtension`1,dd987446
System.AddIn.Contract.IEnumeratorContract`1,bb343851
System.AddIn.Contract.IListContract`1,bb383378
System.AddIn.Contract.RemoteArgumentKind,bb347830
System.AddIn.Contract.Collections.IArrayContract`1,bb345902
System.AddIn.Contract.Collections.ICollectionContract`1,bb353001
System.AddIn.Contract.Collections.IEnumerableContract`1,bb346509
System.AddIn.Contract.Collections.IEnumeratorContract`1,bb292232
System.AddIn.Contract.Collections.IListContract`1,bb348342
System.AddIn.Hosting.AddInSecurityLevel,bb355219
System.Collections.Concurrent.BlockingCollection`1,dd267312
System.Collections.Concurrent.ConcurrentBag`1,dd381779
System.Collections.Concurrent.ConcurrentDictionary`2,dd287191
System.Collections.Concurrent.ConcurrentQueue`1,dd267265
System.Collections.Concurrent.ConcurrentStack`1,dd267331
System.Collections.Concurrent.IProducerConsumerCollection`1,dd287147
System.Collections.Concurrent.OrderablePartitioner`1,dd394988
System.Collections.Concurrent.Partitioner`1,dd381768
System.Collections.Generic.Comparer`1,cfttsh47
System.Collections.Generic.Dictionary`2,xfhwa508
System.Collections.Generic.Dictionary`2.Enumerator,k3z2hhax
System.Collections.Generic.Dictionary`2.KeyCollection,3fcwy8h6
System.Collections.Generic.Dictionary`2.KeyCollection.Enumerator,8a7wk24w
System.Collections.Generic.Dictionary`2.ValueCollection,x8bctb9c
System.Collections.Generic.Dictionary`2.ValueCollection.Enumerator,ax9d1dzh
System.Collections.Generic.EqualityComparer`1,ms132123
System.Collections.Generic.HashSet`1,bb359438
System.Collections.Generic.HashSet`1.Enumerator,bb339801
System.Collections.Generic.ICollection`1,92t2ye13
System.Collections.Generic.IComparer`1,8ehhxeaf
System.Collections.Generic.IDictionary`2,s4ys34ea
System.Collections.Generic.IEnumerable`1,9eekhta0
System.Collections.Generic.IEnumerator`1,78dfe2yb
System.Collections.Generic.IEqualityComparer`1,ms132151
System.Collections.Generic.IList`1,5y536ey6
System.Collections.Generic.IReadOnlyCollection`1,hh881542
System.Collections.Generic.IReadOnlyDictionary`2,hh136548
System.Collections.Generic.IReadOnlyList`1,hh192385
System.Collections.Generic.ISet`1,dd412081
System.Collections.Generic.KeyedByTypeCollection`1,ms404549
System.Collections.Generic.KeyValuePair`2,5tbh8a42
System.Collections.Generic.LinkedList`1,he2s3bh7
System.Collections.Generic.LinkedList`1.Enumerator,2s4xk11f
System.Collections.Generic.LinkedListNode`1,ahf4c754
System.Collections.Generic.List`1,6sh2ey19
System.Collections.Generic.List`1.Enumerator,x854yt9s
System.Collections.Generic.Queue`1,7977ey2c
System.Collections.Generic.Queue`1.Enumerator,1ttzy8a4
System.Collections.Generic.SortedDictionary`2,f7fta44c
System.Collections.Generic.SortedDictionary`2.Enumerator,ms132249
System.Collections.Generic.SortedDictionary`2.KeyCollection,ms132259
System.Collections.Generic.SortedDictionary`2.KeyCollection.Enumerator,ms132279
System.Collections.Generic.SortedDictionary`2.ValueCollection,ms132289
System.Collections.Generic.SortedDictionary`2.ValueCollection.Enumerator,ms132309
System.Collections.Generic.SortedList`2,ms132319
System.Collections.Generic.SortedSet`1,dd412070
System.Collections.Generic.SortedSet`1.Enumerator,dd321008
System.Collections.Generic.Stack`1,3278tedw
System.Collections.Generic.Stack`1.Enumerator,x2bb46cs
System.Collections.Generic.SynchronizedCollection`1,ms668265
System.Collections.Generic.SynchronizedKeyedCollection`2,ms668294
System.Collections.Generic.SynchronizedReadOnlyCollection`1,ms404554
System.Collections.ObjectModel.Collection`1,ms132397
System.Collections.ObjectModel.KeyedCollection`2,ms132438
System.Collections.ObjectModel.ObservableCollection`1,ms668604
System.Collections.ObjectModel.ReadOnlyCollection`1,ms132474
System.Collections.ObjectModel.ReadOnlyDictionary`2,gg712875
System.Collections.ObjectModel.ReadOnlyDictionary`2.KeyCollection,gg712903
System.Collections.ObjectModel.ReadOnlyDictionary`2.ValueCollection,gg712897
System.Collections.ObjectModel.ReadOnlyObservableCollection`1,ms668620
System.ComponentModel.BindingList`1,ms132679
System.ComponentModel.PropertyTabScope,0wwd4w1c
System.ComponentModel.Composition.ExportFactory`1,ff382807
